Customer.ID,Customer.Name,Region,total_sales,rank_in_region
AA-103151,Alex Avila,Central Asia,545,317.0
AA-103151,Alex Avila,Oceania,355,506.0
AA-103151,Alex Avila,Southeast Asia,545,393.0
AA-103152,Alex Avila,Central,436,1121.0
AA-103152,Alex Avila,North,2956,76.0
AA-103152,Alex Avila,South,2713,123.0
AA-103153,Alex Avila,North,633,550.0
AA-103154,Alex Avila,Central,4781,91.0
AA-103154,Alex Avila,East,30,517.0
AA-103154,Alex Avila,West,754,298.0
AA-103751,Allen Armold,Central Asia,1261,195.0
AA-103751,Allen Armold,Oceania,1146,312.0
AA-103752,Allen Armold,Central,90,1373.0
AA-103752,Allen Armold,South,470,745.0
AA-103753,Allen Armold,Caribbean,19,398.0
AA-103753,Allen Armold,North,1590,256.0
AA-103753,Allen Armold,South,252,891.0
AA-103754,Allen Armold,Central,178,1299.0
AA-103754,Allen Armold,East,207,415.0
AA-103754,Allen Armold,South,598,671.0
AA-103754,Allen Armold,West,73,534.0
AA-104801,Andrew Allen,Oceania,1172,308.0
AA-104801,Andrew Allen,Southeast Asia,4774,17.0
AA-104802,Andrew Allen,Central,2163,420.0
AA-104802,Andrew Allen,North,3090,68.0
AA-104803,Andrew Allen,Caribbean,2404,23.0
AA-104803,Andrew Allen,North,2273,133.0
AA-104803,Andrew Allen,South,27,1083.0
AA-104804,Andrew Allen,Central,1749,547.0
AA-104804,Andrew Allen,East,27,519.0
AA-104804,Andrew Allen,South,16,1094.0
AA-106451,Anna Andreadi,Central Asia,1378,181.0
AA-106451,Anna Andreadi,North Asia,149,475.0
AA-106451,Anna Andreadi,Oceania,1727,223.0
AA-106451,Anna Andreadi,Southeast Asia,2010,151.0
AA-106452,Anna Andreadi,Central,879,875.0
AA-106452,Anna Andreadi,North,1411,292.0
AA-106452,Anna Andreadi,South,440,761.0
AA-106453,Anna Andreadi,Caribbean,1120,85.0
AA-106453,Anna Andreadi,Central,653,990.0
AA-106453,Anna Andreadi,North,150,834.0
AA-106453,Anna Andreadi,South,340,824.0
AA-106454,Anna Andreadi,Central,1971,472.0
AA-106454,Anna Andreadi,East,1435,140.0
AA-106454,Anna Andreadi,South,292,859.0
AA-106454,Anna Andreadi,West,1389,176.0
AA-3151,Alex Avila,Africa,11,630.0
AA-3152,Alex Avila,EMEA,2234,95.0
AA-3751,Allen Armold,Africa,365,457.0
AA-3752,Allen Armold,Canada,27,133.0
AA-3753,Allen Armold,EMEA,261,521.0
AA-4801,Andrew Allen,Africa,496,407.0
AA-4802,Andrew Allen,Canada,1085,16.0
AA-4803,Andrew Allen,EMEA,482,432.0
AA-6451,Anna Andreadi,Africa,1503,166.0
AA-6452,Anna Andreadi,EMEA,465,439.0
AB-100151,Aaron Bergman,Central Asia,1919,125.0
AB-100151,Aaron Bergman,North Asia,1167,245.0
AB-100151,Aaron Bergman,Oceania,4509,43.0
AB-100151,Aaron Bergman,Southeast Asia,3067,74.0
AB-100152,Aaron Bergman,Central,3658,168.0
AB-100152,Aaron Bergman,North,503,615.0
AB-100152,Aaron Bergman,South,1955,216.0
AB-100153,Aaron Bergman,Central,1457,634.0
AB-100153,Aaron Bergman,North,195,795.0
AB-100153,Aaron Bergman,South,723,614.0
AB-100154,Aaron Bergman,Central,577,1034.0
AB-100154,Aaron Bergman,West,310,420.0
AB-100601,Adam Bellavance,North Asia,335,407.0
AB-100601,Adam Bellavance,Oceania,172,567.0
AB-100601,Adam Bellavance,Southeast Asia,1600,200.0
AB-100602,Adam Bellavance,Central,182,1295.0
AB-100602,Adam Bellavance,North,3163,62.0
AB-100603,Adam Bellavance,Caribbean,199,284.0
AB-100603,Adam Bellavance,Central,1459,632.0
AB-100603,Adam Bellavance,North,479,627.0
AB-100603,Adam Bellavance,South,3073,97.0
AB-100604,Adam Bellavance,Central,240,1255.0
AB-100604,Adam Bellavance,East,4488,24.0
AB-100604,Adam Bellavance,South,334,829.0
AB-100604,Adam Bellavance,West,2695,60.0
AB-101051,Adrian Barton,Central Asia,1349,186.0
AB-101051,Adrian Barton,Oceania,2960,115.0
AB-101052,Adrian Barton,Central,2040,451.0
AB-101052,Adrian Barton,North,163,823.0
AB-101052,Adrian Barton,South,746,602.0
AB-101053,Adrian Barton,Central,35,1426.0
AB-101053,Adrian Barton,North,428,650.0
AB-101053,Adrian Barton,South,771,589.0
AB-101054,Adrian Barton,Central,12183,2.0
AB-101054,Adrian Barton,East,118,463.0
AB-101054,Adrian Barton,South,844,555.0
AB-101054,Adrian Barton,West,1331,184.0
AB-101501,Aimee Bixby,North Asia,251,428.0
AB-101501,Aimee Bixby,Oceania,178,564.0
AB-101502,Aimee Bixby,Central,867,879.0
AB-101502,Aimee Bixby,North,5532,11.0
AB-101502,Aimee Bixby,South,2740,121.0
AB-101503,Aimee Bixby,Caribbean,103,330.0
AB-101503,Aimee Bixby,Central,923,852.0
AB-101503,Aimee Bixby,North,1239,340.0
AB-101503,Aimee Bixby,South,258,885.0
AB-101504,Aimee Bixby,Central,170,1304.0
AB-101504,Aimee Bixby,East,799,245.0
AB-101651,Alan Barnes,Central Asia,304,378.0
AB-101651,Alan Barnes,Oceania,1293,291.0
AB-101651,Alan Barnes,Southeast Asia,1838,170.0
AB-101652,Alan Barnes,Central,5252,70.0
AB-101652,Alan Barnes,North,1185,356.0
AB-101653,Alan Barnes,Caribbean,349,232.0
AB-101653,Alan Barnes,Central,131,1334.0
AB-101653,Alan Barnes,North,188,801.0
AB-101654,Alan Barnes,Central,37,1424.0
AB-101654,Alan Barnes,East,119,462.0
AB-101654,Alan Barnes,South,164,961.0
AB-101654,Alan Barnes,West,794,286.0
AB-102551,Alejandro Ballentine,Central Asia,49,481.0
AB-102551,Alejandro Ballentine,North Asia,641,333.0
AB-102551,Alejandro Ballentine,Oceania,1569,252.0
AB-102551,Alejandro Ballentine,Southeast Asia,2018,149.0
AB-102552,Alejandro Ballentine,Central,719,958.0
AB-102552,Alejandro Ballentine,North,221,779.0
AB-102552,Alejandro Ballentine,South,9,1101.0
AB-102553,Alejandro Ballentine,Caribbean,3745,6.0
AB-102553,Alejandro Ballentine,Central,634,1000.0
AB-102553,Alejandro Ballentine,North,237,767.0
AB-102553,Alejandro Ballentine,South,28,1082.0
AB-102554,Alejandro Ballentine,Central,14,1446.0
AB-102554,Alejandro Ballentine,East,121,461.0
AB-102554,Alejandro Ballentine,South,34,1076.0
AB-102554,Alejandro Ballentine,West,745,302.0
AB-1051,Adrian Barton,Africa,97,586.0
AB-1052,Adrian Barton,Canada,64,115.0
AB-1053,Adrian Barton,EMEA,1996,114.0
AB-106001,Ann Blume,Central Asia,3809,49.0
AB-106001,Ann Blume,North Asia,76,509.0
AB-106001,Ann Blume,Oceania,2565,141.0
AB-106001,Ann Blume,Southeast Asia,698,355.0
AB-106002,Ann Blume,Central,1990,465.0
AB-106002,Ann Blume,South,2286,165.0
AB-106003,Ann Blume,Central,313,1196.0
AB-106003,Ann Blume,North,39,920.0
AB-106003,Ann Blume,South,25,1085.0
AB-106004,Ann Blume,Central,14,1446.0
AB-106004,Ann Blume,South,17,1093.0
AB-106004,Ann Blume,West,1484,165.0
AB-1501,Aimee Bixby,EMEA,3145,50.0
AB-151,Aaron Bergman,Africa,2125,91.0
AB-152,Aaron Bergman,EMEA,2481,81.0
AB-1651,Alan Barnes,Africa,160,555.0
AB-1652,Alan Barnes,Canada,411,50.0
AB-1653,Alan Barnes,EMEA,828,317.0
AB-2551,Alejandro Ballentine,Africa,4083,25.0
AB-2552,Alejandro Ballentine,Canada,283,64.0
